Positive_ID,ID,Legante,Famiglia_Legante,Metallo,Sale_Metallico,Solvente,Additivo_Colinker,Temperatura_C,Tempo_ore,mmol_Legante,mmol_Sale,Rapporto_LM,Volume solvente,Hydration_Number,Counterion_Class,Oxidation_State,Procedura_Sintetica,Esito_ML,Positive_Library_Source,Data_Quality_Flag,Split_Set
POS-0082,470,"4,4'-(naphthalene-2,6-diyl)dibenzonic acid",Non specificata,Cu,Cu(NO3)2·2.5H2O,DMF,Nessuno,85,48.0,0.2,0.6,0.3333,,,,,Solvothermal,2,development_positive,temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0083,471,Imidazole (3.0) / Benzimidazole (1.0),Non specificata,Zn,Zn(NO3)2·6H2O,DMF,Nessuno,130,48.0,4.0,1.0,4.0,,,,,Solvothermal,2,development_positive,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0084,473,2-Ethylimidazole,Non specificata,Zn,Zn(ClO4)2·6H2O,MeOH/NH3,Nessuno,25,24.0,4.0,1.0,4.0,,,,,Room Temperature,2,development_positive,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0085,474,4-Methyl-5-imidazolecarboxaldehyde,Non specificata,Zn,Zn(NO3)2·6H2O,DMF,Nessuno,85,24.0,4.0,1.0,4.0,,,,,Solvothermal,2,development_positive,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0086,475,"Adenine (0.4) / 4,4'-BPDC (0.8)",Non specificata,Zn,Zn(NO3)2·6H2O,DMF,Nessuno,130,24.0,1.2,1.2,1.0,,,,,Solvothermal,2,development_positive,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0087,477,"Pyrazine-2,3-dicarboxylic acid",Non specificata,Zn,Zn(NO3)2·6H2O,H2O,Nessuno,140,24.0,1.0,2.0,0.5,,,,,Hydrothermal,2,development_positive,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0088,479,BHB-based tetracarboxylate,Non specificata,Cu,Cu(NO3)2·2.5H2O,DMF/Dioxane,Nessuno,65,48.0,0.2,0.8,0.25,,,,,Solvothermal,2,development_positive,temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0089,480,"2,5-Dihydroxyterephthalic acid",Non specificata,Mg,Mg(OAc)2·4H2O,H2O/THF,Nessuno,110,24.0,1.0,3.3,0.303,,,,,Solvothermal,2,development_positive,numeric_decimal_standardized;solvent_canonicalized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0090,481,"2,6-Naphthalenedicarboxylic acid",Non specificata,Al,Al(NO3)3·9H2O,DMF,Nessuno,120,24.0,2.0,2.0,1.0,,,,,Solvothermal,2,development_positive,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0091,482,"4,4'-Biphenyldicarboxylic acid",Non specificata,Al,Al(NO3)3·9H2O,DMF,Nessuno,120,24.0,2.0,2.0,1.0,,,,,Solvothermal,2,development_positive,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
