Sample#,SampleID,Metal,Linker,AA Conc,Temp,first_hetero_h,first_solid_h,first_hetero_or_solid_h,Primary Phase,Secondary Phase
867,MG2-85-83,Yb,Pyromellitic,10,60,,,,NU-2505,unknown phase
868,MG2-85-84,Yb,Mellitic,10,60,0.512,0.512,0.512,TUMHAK,unknown phase
869,MG2-86-01,Lu,BDC,0,60,,,,no solid product,n/a
870,MG2-86-02,Lu,Phthalic,0,60,,,,no solid product,n/a
871,MG2-86-03,Lu,Isophthalic,0,60,,,,no solid product,n/a
872,MG2-86-04,Lu,BTC,0,60,0.518,1.017,0.518,unknown phase,n/a
873,MG2-86-05,Lu,Trimellitic,0,60,4.023,4.023,4.023,NU-2501,unknown phase
874,MG2-86-06,Lu,Pyromellitic,0,60,,2.031,2.031,NU-2505,unknown phase
875,MG2-86-07,Lu,Mellitic,0,60,0.038,0.038,0.038,TUMHAK,n/a
876,MG2-86-08,Lu,BDC,2,60,,,,no solid product,n/a
877,MG2-86-09,Lu,Phthalic,2,60,,,,no solid product,n/a
878,MG2-86-10,Lu,Isophthalic,2,60,,19.055,19.055,no solid product,n/a
879,MG2-86-11,Lu,BTC,2,60,,,,no solid product,n/a
880,MG2-86-12,Lu,Trimellitic,2,60,,,,NU-2501,unknown phase
881,MG2-86-13,Lu,Pyromellitic,2,60,,4.074,4.074,NU-2505,n/a
882,MG2-86-14,Lu,Mellitic,2,60,0.082,0.082,0.082,TUMHAK,n/a
883,MG2-86-15,Lu,BDC,5,60,,,,no solid product,n/a
884,MG2-86-16,Lu,Phthalic,5,60,,,,no solid product,n/a
885,MG2-86-17,Lu,Isophthalic,5,60,,,,no solid product,n/a
886,MG2-86-18,Lu,BTC,5,60,6.104,,6.104,no solid product,n/a
887,MG2-86-19,Lu,Trimellitic,5,60,,,,NU-2501,unknown phase
888,MG2-86-20,Lu,Pyromellitic,5,60,10.118,10.118,10.118,NU-2505,n/a
889,MG2-86-21,Lu,Mellitic,5,60,0.126,0.126,0.126,KUXVOO,unknown phase
890,MG2-86-22,Lu,BDC,10,60,,,,no solid product,n/a
891,MG2-86-23,Lu,Phthalic,10,60,,,,no solid product,n/a
892,MG2-86-24,Lu,Isophthalic,10,60,,,,no solid product,n/a
893,MG2-86-25,Lu,BTC,10,60,,,,no solid product,n/a
894,MG2-86-26,Lu,Trimellitic,10,60,,,,no crystalline product,n/a
895,MG2-86-27,Lu,Pyromellitic,10,60,,1.164,1.164,NU-2505,n/a
896,MG2-86-28,Lu,Mellitic,10,60,0.171,0.171,0.171,TUMHAK,n/a
897,MG2-87-01,Sc,BDC,0,40,0,5.998,0,no solid product,n/a
898,MG2-87-02,Sc,Phthalic,0,40,,,,no solid product,n/a
899,MG2-87-03,Sc,Isophthalic,0,40,,,,no solid product,n/a
900,MG2-87-04,Sc,BTC,0,40,0.019,0.019,0.019,no crystalline product,n/a
901,MG2-87-05,Sc,Trimellitic,0,40,0.025,0.025,0.025,no crystalline product,n/a
902,MG2-87-06,Sc,Pyromellitic,0,40,0.032,0.578,0.032,no crystalline product,n/a
903,MG2-87-07,Sc,Mellitic,0,40,0.038,0.038,0.038,no crystalline product,n/a
904,MG2-87-08,Sc,BDC,2,40,,,,no solid product,n/a
905,MG2-87-09,Sc,Phthalic,2,40,,,,no solid product,n/a
906,MG2-87-10,Sc,Isophthalic,2,40,,,,no solid product,n/a
907,MG2-87-11,Sc,BTC,2,40,0.064,10.063,0.064,NU-2502,n/a
908,MG2-87-12,Sc,Trimellitic,2,40,,,,no solid product,n/a
909,MG2-87-13,Sc,Pyromellitic,2,40,0.077,0.077,0.077,no crystalline product,n/a
910,MG2-87-14,Sc,Mellitic,2,40,0.084,19.084,0.084,no crystalline product,n/a
911,MG2-87-15,Sc,BDC,5,40,,,,no solid product,n/a
912,MG2-87-16,Sc,Phthalic,5,40,,,,no solid product,n/a
913,MG2-87-17,Sc,Isophthalic,5,40,,,,no solid product,n/a
914,MG2-87-18,Sc,BTC,5,40,0.108,0.108,0.108,NU-2502,n/a
915,MG2-87-19,Sc,Trimellitic,5,40,,,,no solid product,n/a
916,MG2-87-20,Sc,Pyromellitic,5,40,0.121,0.121,0.121,no crystalline product,n/a
917,MG2-87-21,Sc,Mellitic,5,40,0.128,0.128,0.128,no crystalline product,n/a
918,MG2-87-22,Sc,BDC,10,40,,,,no solid product,n/a
919,MG2-87-23,Sc,Phthalic,10,40,,,,no solid product,n/a
920,MG2-87-24,Sc,Isophthalic,10,40,,,,no solid product,n/a
921,MG2-87-25,Sc,BTC,10,40,0.154,10.152,0.154,no crystalline product,n/a
922,MG2-87-26,Sc,Trimellitic,10,40,,,,no solid product,n/a
923,MG2-87-27,Sc,Pyromellitic,10,40,0.167,1.254,0.167,no crystalline product,n/a
924,MG2-87-28,Sc,Mellitic,10,40,0.172,,0.172,no crystalline product,n/a
925,MG2-87-29,Y,BDC,0,40,,,,no solid product,n/a
926,MG2-87-30,Y,Phthalic,0,40,,,,no solid product,n/a
927,MG2-87-31,Y,Isophthalic,0,40,,,,no solid product,n/a
928,MG2-87-32,Y,BTC,0,40,6.197,19.201,6.197,CAQFEI,unknown phase
929,MG2-87-33,Y,Trimellitic,0,40,1.293,2.204,1.293,VOYWUB,n/a
930,MG2-87-34,Y,Pyromellitic,0,40,,,,unknown phase,n/a
931,MG2-87-35,Y,Mellitic,0,40,0.217,0.217,0.217,unknown phase,n/a
932,MG2-87-36,Y,BDC,2,40,,,,no solid product,n/a
933,MG2-87-37,Y,Phthalic,2,40,,,,no solid product,n/a
934,MG2-87-38,Y,Isophthalic,2,40,,,,no solid product,n/a
935,MG2-87-39,Y,BTC,2,40,,,,no solid product,n/a
936,MG2-87-40,Y,Trimellitic,2,40,2.249,6.249,2.249,VOYWUB,n/a
937,MG2-87-41,Y,Pyromellitic,2,40,,,,NU-2505,unknown phase
938,MG2-87-42,Y,Mellitic,2,40,0.262,0.262,0.262,unknown phase,n/a
939,MG2-87-43,Y,BDC,5,40,,,,no solid product,n/a
940,MG2-87-44,Y,Phthalic,5,40,,,,no solid product,n/a
941,MG2-87-45,Y,Isophthalic,5,40,,,,no solid product,n/a
942,MG2-87-46,Y,BTC,5,40,,,,no solid product,n/a
943,MG2-87-47,Y,Trimellitic,5,40,,,,no crystalline product,n/a
944,MG2-87-48,Y,Pyromellitic,5,40,,,,no crystalline product,n/a
945,MG2-87-49,Y,Mellitic,5,40,0.307,0.307,0.307,unknown phase,n/a
946,MG2-87-50,Y,BDC,10,40,,,,no solid product,n/a
947,MG2-87-51,Y,Phthalic,10,40,,,,no solid product,n/a
948,MG2-87-52,Y,Isophthalic,10,40,,,,no solid product,n/a
949,MG2-87-53,Y,BTC,10,40,,,,no solid product,n/a
950,MG2-87-54,Y,Trimellitic,10,40,,0.339,0.339,no crystalline product,n/a
951,MG2-87-55,Y,Pyromellitic,10,40,14.343,14.343,14.343,no crystalline product,n/a
952,MG2-87-56,Y,Mellitic,10,40,0.352,0.352,0.352,no crystalline product,n/a
953,MG2-87-57,La,BDC,0,40,,,,no solid product,n/a
954,MG2-87-58,La,Phthalic,0,40,,,,no solid product,n/a
955,MG2-87-59,La,Isophthalic,0,40,,,,no solid product,n/a
956,MG2-87-60,La,BTC,0,40,0.377,0.921,0.377,KEBSOA,n/a
957,MG2-87-61,La,Trimellitic,0,40,14.382,6.384,6.384,UTONAT,n/a
958,MG2-87-62,La,Pyromellitic,0,40,0.39,0.39,0.39,RIVSOH_011,unknown phase
959,MG2-87-63,La,Mellitic,0,40,0.397,0.397,0.397,HAPTOJ,n/a
960,MG2-87-64,La,BDC,2,40,,,,no solid product,n/a
961,MG2-87-65,La,Phthalic,2,40,,0.953,0.953,no solid product,n/a
962,MG2-87-66,La,Isophthalic,2,40,10.416,,10.416,no solid product,n/a
963,MG2-87-67,La,BTC,2,40,0.422,0.422,0.422,KEBSOA,n/a
964,MG2-87-68,La,Trimellitic,2,40,19.434,19.434,19.434,UTONAT,SEVWEV
965,MG2-87-69,La,Pyromellitic,2,40,0.434,0.977,0.434,RIVSOH_011,unknown phase
966,MG2-87-70,La,Mellitic,2,40,,0.441,0.441,HAPTOJ,n/a
967,MG2-87-71,La,BDC,5,40,,,,no solid product,n/a
968,MG2-87-72,La,Phthalic,5,40,,,,no solid product,n/a
969,MG2-87-73,La,Isophthalic,5,40,,,,no solid product,n/a
970,MG2-87-74,La,BTC,5,40,0.466,0.466,0.466,KEBSOA,n/a
971,MG2-87-75,La,Trimellitic,5,40,10.474,19.479,10.474,UTONAT,unknown phase
972,MG2-87-76,La,Pyromellitic,5,40,0.479,1.022,0.479,RIVSOH_011,unknown phase
973,MG2-87-77,La,Mellitic,5,40,0.485,0.485,0.485,HAPTOJ,n/a
974,MG2-87-78,La,BDC,10,40,,,,no solid product,n/a
975,MG2-87-79,La,Phthalic,10,40,,,,no solid product,n/a
976,MG2-87-80,La,Isophthalic,10,40,,,,no solid product,n/a
977,MG2-87-81,La,BTC,10,40,0.511,0.511,0.511,KEBSOA,n/a
978,MG2-87-82,La,Trimellitic,10,40,19.526,19.526,19.526,no crystalline product,n/a
979,MG2-87-83,La,Pyromellitic,10,40,1.067,0.524,0.524,RIVSOH_011,unknown phase
980,MG2-87-84,La,Mellitic,10,40,0.53,0.53,0.53,HAPTOJ,n/a
981,MG2-88-01,Ce,BDC,0,40,,18.998,18.998,no solid product,n/a
982,MG2-88-02,Ce,Phthalic,0,40,,,,no solid product,n/a
983,MG2-88-03,Ce,Isophthalic,0,40,,,,no solid product,n/a
984,MG2-88-04,Ce,BTC,0,40,0.019,0.019,0.019,YIMRUL,n/a
985,MG2-88-05,Ce,Trimellitic,0,40,0.026,1.118,0.026,UTONAT,n/a
986,MG2-88-06,Ce,Pyromellitic,0,40,,0.033,0.033,unknown phase,RIVSOH_011
987,MG2-88-07,Ce,Mellitic,0,40,0.039,0.039,0.039,HAPTOJ,n/a
988,MG2-88-08,Ce,BDC,2,40,,,,no solid product,n/a
989,MG2-88-09,Ce,Phthalic,2,40,,,,no solid product,n/a
990,MG2-88-10,Ce,Isophthalic,2,40,,,,no solid product,n/a
991,MG2-88-11,Ce,BTC,2,40,0.063,0.063,0.063,YIMRUL,n/a
992,MG2-88-12,Ce,Trimellitic,2,40,,,,UTONAT,n/a
993,MG2-88-13,Ce,Pyromellitic,2,40,0.076,0.076,0.076,unknown phase,RIVSOH_011
994,MG2-88-14,Ce,Mellitic,2,40,0.082,0.082,0.082,HAPTOJ,n/a
995,MG2-88-15,Ce,BDC,5,40,,,,no solid product,n/a
996,MG2-88-16,Ce,Phthalic,5,40,,,,no solid product,n/a
997,MG2-88-17,Ce,Isophthalic,5,40,,,,no solid product,n/a
998,MG2-88-18,Ce,BTC,5,40,0.109,0.109,0.109,YIMRUL,n/a
999,MG2-88-19,Ce,Trimellitic,5,40,4.111,14.113,4.111,UTONAT,unknown phase
1000,MG2-88-20,Ce,Pyromellitic,5,40,0.122,0.122,0.122,RIVSOH_011,n/a
1001,MG2-88-21,Ce,Mellitic,5,40,0.129,0.129,0.129,HAPTOJ,n/a
1002,MG2-88-22,Ce,BDC,10,40,,,,no solid product,n/a
1003,MG2-88-23,Ce,Phthalic,10,40,,,,no solid product,n/a
1004,MG2-88-24,Ce,Isophthalic,10,40,,,,no solid product,n/a
1005,MG2-88-25,Ce,BTC,10,40,0.154,0.154,0.154,YIMRUL,n/a
1006,MG2-88-26,Ce,Trimellitic,10,40,10.157,19.156,10.157,no crystalline product,n/a
1007,MG2-88-27,Ce,Pyromellitic,10,40,0.166,0.166,0.166,RIVSOH_011,n/a
1008,MG2-88-28,Ce,Mellitic,10,40,0.173,0.173,0.173,HAPTOJ,n/a
1009,MG2-88-29,Pr,BDC,0,40,,,,no solid product,n/a
1010,MG2-88-30,Pr,Phthalic,0,40,,,,no solid product,n/a
1011,MG2-88-31,Pr,Isophthalic,0,40,14.191,,14.191,no solid product,n/a
1012,MG2-88-32,Pr,BTC,0,40,0.198,0.198,0.198,YIMRUL,n/a
1013,MG2-88-33,Pr,Trimellitic,0,40,4.201,0.204,0.204,UTONAT,n/a
1014,MG2-88-34,Pr,Pyromellitic,0,40,0.211,0.211,0.211,RIVSOH_011,n/a
1015,MG2-88-35,Pr,Mellitic,0,40,1.31,0.217,0.217,HAPTOJ,n/a
1016,MG2-88-36,Pr,BDC,2,40,,,,no solid product,n/a
1017,MG2-88-37,Pr,Phthalic,2,40,0.776,,0.776,no solid product,n/a
1018,MG2-88-38,Pr,Isophthalic,2,40,,,,no solid product,n/a
1019,MG2-88-39,Pr,BTC,2,40,0.243,0.243,0.243,YIMRUL,n/a
1020,MG2-88-40,Pr,Trimellitic,2,40,19.246,,19.246,UTONAT,unknown phase
1021,MG2-88-41,Pr,Pyromellitic,2,40,0.256,0.256,0.256,RIVSOH_011,n/a
1022,MG2-88-42,Pr,Mellitic,2,40,0.809,0.262,0.262,HAPTOJ,n/a
1023,MG2-88-43,Pr,BDC,5,40,,,,no solid product,n/a
1024,MG2-88-44,Pr,Phthalic,5,40,,,,no solid product,n/a
1025,MG2-88-45,Pr,Isophthalic,5,40,,,,no solid product,n/a
1026,MG2-88-46,Pr,BTC,5,40,0.288,0.288,0.288,YIMRUL,n/a
1027,MG2-88-47,Pr,Trimellitic,5,40,10.291,,10.291,UTONAT,unknown phase
1028,MG2-88-48,Pr,Pyromellitic,5,40,0.301,0.301,0.301,RIVSOH_011,n/a
1029,MG2-88-49,Pr,Mellitic,5,40,0.307,0.307,0.307,NACKOT01,n/a
1030,MG2-88-50,Pr,BDC,10,40,,,,no solid product,n/a
1031,MG2-88-51,Pr,Phthalic,10,40,,,,no solid product,n/a
1032,MG2-88-52,Pr,Isophthalic,10,40,,6.322,6.322,no solid product,n/a
1033,MG2-88-53,Pr,BTC,10,40,0.333,0.333,0.333,YIMRUL,n/a
1034,MG2-88-54,Pr,Trimellitic,10,40,14.34,,14.34,no crystalline product,n/a
1035,MG2-88-55,Pr,Pyromellitic,10,40,0.346,0.892,0.346,RIVSOH_011,n/a
1036,MG2-88-56,Pr,Mellitic,10,40,0.352,0.352,0.352,HAPTOJ,n/a
1037,MG2-88-57,Nd,BDC,0,40,,,,no solid product,n/a
1038,MG2-88-58,Nd,Phthalic,0,40,,,,no solid product,n/a
1039,MG2-88-59,Nd,Isophthalic,0,40,,,,no solid product,n/a
1040,MG2-88-60,Nd,BTC,0,40,0.378,0.378,0.378,YIMRUL,n/a
1041,MG2-88-61,Nd,Trimellitic,0,40,0.385,2.379,0.385,SEVWEV,n/a
1042,MG2-88-62,Nd,Pyromellitic,0,40,0.391,0.391,0.391,RIVSOH_011,n/a
1043,MG2-88-63,Nd,Mellitic,0,40,0.397,0.397,0.397,unknown phase,n/a
1044,MG2-88-64,Nd,BDC,2,40,,,,no solid product,n/a
1045,MG2-88-65,Nd,Phthalic,2,40,,,,no solid product,n/a
1046,MG2-88-66,Nd,Isophthalic,2,40,,,,no solid product,n/a
1047,MG2-88-67,Nd,BTC,2,40,0.422,0.422,0.422,YIMRUL,n/a
1048,MG2-88-68,Nd,Trimellitic,2,40,,,,SEVWEV,n/a
1049,MG2-88-69,Nd,Pyromellitic,2,40,0.435,0.981,0.435,RIVSOH_011,n/a
1050,MG2-88-70,Nd,Mellitic,2,40,0.442,0.442,0.442,LAXGOH03,unknown phase
1051,MG2-88-71,Nd,BDC,5,40,,,,no solid product,n/a
1052,MG2-88-72,Nd,Phthalic,5,40,,,,no solid product,n/a
1053,MG2-88-73,Nd,Isophthalic,5,40,14.465,,14.465,no solid product,n/a
1054,MG2-88-74,Nd,BTC,5,40,0.469,0.469,0.469,YIMRUL,n/a
1055,MG2-88-75,Nd,Trimellitic,5,40,10.468,,10.468,SEVWEV,unknown phase
1056,MG2-88-76,Nd,Pyromellitic,5,40,0.481,1.027,0.481,RIVSOH_011,n/a
1057,MG2-88-77,Nd,Mellitic,5,40,0.487,0.487,0.487,unknown phase,n/a
1058,MG2-88-78,Nd,BDC,10,40,,,,no solid product,n/a
1059,MG2-88-79,Nd,Phthalic,10,40,,,,no solid product,n/a
1060,MG2-88-80,Nd,Isophthalic,10,40,,,,no solid product,n/a
1061,MG2-88-81,Nd,BTC,10,40,0.512,1.058,0.512,YIMRUL,n/a
1062,MG2-88-82,Nd,Trimellitic,10,40,19.515,,19.515,no crystalline product,n/a
1063,MG2-88-83,Nd,Pyromellitic,10,40,1.071,0.526,0.526,RIVSOH,n/a
1064,MG2-88-84,Nd,Mellitic,10,40,,0.532,0.532,unknown phase,n/a
1065,MG2-89-01,Sm,BDC,0,40,,,,no solid product,n/a
1066,MG2-89-02,Sm,Phthalic,0,40,,,,no solid product,n/a
1067,MG2-89-03,Sm,Isophthalic,0,40,,,,no solid product,n/a
1068,MG2-89-04,Sm,BTC,0,40,0.019,0.019,0.019,RAVJUV,n/a
1069,MG2-89-05,Sm,Trimellitic,0,40,0.573,2.023,0.573,ROWZEM,n/a
1070,MG2-89-06,Sm,Pyromellitic,0,40,,0.031,0.031,RIVSOH,unknown phase
1071,MG2-89-07,Sm,Mellitic,0,40,,0.038,0.038,EPUREO,unknown phase
1072,MG2-89-08,Sm,BDC,2,40,,,,no solid product,n/a
1073,MG2-89-09,Sm,Phthalic,2,40,,,,no solid product,n/a
1074,MG2-89-10,Sm,Isophthalic,2,40,,,,no solid product,n/a
1075,MG2-89-11,Sm,BTC,2,40,0.064,0.064,0.064,CAQFEI,n/a
1076,MG2-89-12,Sm,Trimellitic,2,40,2.068,6.068,2.068,ROWZEM,n/a
1077,MG2-89-13,Sm,Pyromellitic,2,40,6.074,6.074,6.074,RIVSOH,n/a
1078,MG2-89-14,Sm,Mellitic,2,40,,0.082,0.082,HAPTOJ,unknown phase
1079,MG2-89-15,Sm,BDC,5,40,,,,no solid product,n/a
1080,MG2-89-16,Sm,Phthalic,5,40,,,,no solid product,n/a
1081,MG2-89-17,Sm,Isophthalic,5,40,,,,no solid product,n/a
1082,MG2-89-18,Sm,BTC,5,40,0.108,0.108,0.108,RAVJUV,n/a
1083,MG2-89-19,Sm,Trimellitic,5,40,6.112,14.111,6.112,SEVWEV,n/a
1084,MG2-89-20,Sm,Pyromellitic,5,40,10.119,0.67,0.67,RIVSOH_011,n/a
1085,MG2-89-21,Sm,Mellitic,5,40,,0.127,0.127,EPUREO,unknown phase
1086,MG2-89-22,Sm,BDC,10,40,,,,no solid product,n/a
1087,MG2-89-23,Sm,Phthalic,10,40,,,,no solid product,n/a
1088,MG2-89-24,Sm,Isophthalic,10,40,,,,no solid product,n/a
1089,MG2-89-25,Sm,BTC,10,40,6.151,0.154,0.154,CAQFEI,n/a
1090,MG2-89-26,Sm,Trimellitic,10,40,10.157,,10.157,SEVWEV,n/a
1091,MG2-89-27,Sm,Pyromellitic,10,40,19.163,14.162,14.162,RIVSOH_011,n/a
1092,MG2-89-28,Sm,Mellitic,10,40,0.173,0.173,0.173,NACKOT01,unknown phase
1093,MG2-89-29,Eu,BDC,0,40,,,,no solid product,n/a
1094,MG2-89-30,Eu,Phthalic,0,40,,,,no solid product,n/a
1095,MG2-89-31,Eu,Isophthalic,0,40,0.192,,0.192,no solid product,n/a
1096,MG2-89-32,Eu,BTC,0,40,0.198,0.198,0.198,RAVJUV,n/a
1097,MG2-89-33,Eu,Trimellitic,0,40,0.204,0.753,0.204,ROWZEM,n/a
1098,MG2-89-34,Eu,Pyromellitic,0,40,,4.207,4.207,RIVSOH,unknown phase
1099,MG2-89-35,Eu,Mellitic,0,40,,0.217,0.217,LAXGOH01,unknown phase
1100,MG2-89-36,Eu,BDC,2,40,,,,no solid product,n/a
1101,MG2-89-37,Eu,Phthalic,2,40,14.226,,14.226,no solid product,n/a
1102,MG2-89-38,Eu,Isophthalic,2,40,,,,no solid product,n/a
1103,MG2-89-39,Eu,BTC,2,40,0.243,0.243,0.243,CAQFEI,n/a
1104,MG2-89-40,Eu,Trimellitic,2,40,,6.248,6.248,ROWZEM,n/a
1105,MG2-89-41,Eu,Pyromellitic,2,40,10.253,,10.253,RIVSOH,n/a
1106,MG2-89-42,Eu,Mellitic,2,40,0.262,0.262,0.262,LAXGOH03,unknown phase
1107,MG2-89-43,Eu,BDC,5,40,,,,no solid product,n/a
1108,MG2-89-44,Eu,Phthalic,5,40,,,,no solid product,n/a
1109,MG2-89-45,Eu,Isophthalic,5,40,,,,no solid product,n/a
1110,MG2-89-46,Eu,BTC,5,40,0.288,0.288,0.288,RAVJUV,n/a
1111,MG2-89-47,Eu,Trimellitic,5,40,,,,ROWZEM,n/a
1112,MG2-89-48,Eu,Pyromellitic,5,40,,,,RIVSOH_011,n/a
1113,MG2-89-49,Eu,Mellitic,5,40,0.308,0.308,0.308,CUDQOL02,n/a
1114,MG2-89-50,Eu,BDC,10,40,,,,no solid product,n/a
1115,MG2-89-51,Eu,Phthalic,10,40,,,,no solid product,n/a
1116,MG2-89-52,Eu,Isophthalic,10,40,,,,no solid product,n/a
1117,MG2-89-53,Eu,BTC,10,40,2.331,2.331,2.331,RAVJUV,n/a
1118,MG2-89-54,Eu,Trimellitic,10,40,1.432,,1.432,ROWZEM,n/a
1119,MG2-89-55,Eu,Pyromellitic,10,40,,14.341,14.341,RIVSOH_011,unknown phase
1120,MG2-89-56,Eu,Mellitic,10,40,0.352,0.352,0.352,unknown phase,n/a
1121,MG2-89-57,Gd,BDC,0,40,,,,no solid product,n/a
1122,MG2-89-58,Gd,Phthalic,0,40,,,,no solid product,n/a
1123,MG2-89-59,Gd,Isophthalic,0,40,,,,no solid product,n/a
1124,MG2-89-60,Gd,BTC,0,40,0.378,0.378,0.378,CAQFEI,n/a
1125,MG2-89-61,Gd,Trimellitic,0,40,2.381,1.477,1.477,ROWZEM,n/a
1126,MG2-89-62,Gd,Pyromellitic,0,40,,,,RIVSOH,unknown phase
1127,MG2-89-63,Gd,Mellitic,0,40,0.397,0.397,0.397,NACKOT01,ZOMKAP02
1128,MG2-89-64,Gd,BDC,2,40,,,,no solid product,n/a
1129,MG2-89-65,Gd,Phthalic,2,40,,,,no solid product,n/a
1130,MG2-89-66,Gd,Isophthalic,2,40,,,,no solid product,n/a
1131,MG2-89-67,Gd,BTC,2,40,0.422,0.422,0.422,CAQFEI,n/a
1132,MG2-89-68,Gd,Trimellitic,2,40,0.977,4.425,0.977,ROWZEM,n/a
1133,MG2-89-69,Gd,Pyromellitic,2,40,10.431,,10.431,RIVSOH_011,n/a
1134,MG2-89-70,Gd,Mellitic,2,40,0.441,0.441,0.441,GANGUZ,ZOMKAP02
1135,MG2-89-71,Gd,BDC,5,40,,,,no solid product,n/a
1136,MG2-89-72,Gd,Phthalic,5,40,,,,no solid product,n/a
1137,MG2-89-73,Gd,Isophthalic,5,40,,,,no solid product,n/a
1138,MG2-89-74,Gd,BTC,5,40,,1.56,1.56,CAQFEI,n/a
1139,MG2-89-75,Gd,Trimellitic,5,40,,2.47,2.47,ROWZEM,n/a
1140,MG2-89-76,Gd,Pyromellitic,5,40,,10.476,10.476,RIVSOH_011,unknown phase
1141,MG2-89-77,Gd,Mellitic,5,40,0.487,0.487,0.487,CUDQOL02,n/a
1142,MG2-89-78,Gd,BDC,10,40,,,,no solid product,n/a
1143,MG2-89-79,Gd,Phthalic,10,40,,,,no solid product,n/a
1144,MG2-89-80,Gd,Isophthalic,10,40,,,,no solid product,n/a
1145,MG2-89-81,Gd,BTC,10,40,,0.513,0.513,CAQFEI,unknown phase
1146,MG2-89-82,Gd,Trimellitic,10,40,,,,SEVWEV,n/a
1147,MG2-89-83,Gd,Pyromellitic,10,40,,,,NU-2504,RIVSOH_011
1148,MG2-89-84,Gd,Mellitic,10,40,0.531,0.531,0.531,TUMGUD,n/a
1149,MG2-90-01,Tb,BDC,0,40,,,,no solid product,n/a
1150,MG2-90-02,Tb,Phthalic,0,40,,,,no solid product,n/a
1151,MG2-90-03,Tb,Isophthalic,0,40,,,,no solid product,n/a
1152,MG2-90-04,Tb,BTC,0,40,0.02,0.02,0.02,CAQFEI,n/a
1153,MG2-90-05,Tb,Trimellitic,0,40,6.024,10.026,6.024,ROWZEM,n/a
1154,MG2-90-06,Tb,Pyromellitic,0,40,,,,unknown phase,n/a
1155,MG2-90-07,Tb,Mellitic,0,40,0.039,0.039,0.039,ZOMKAP02,n/a
1156,MG2-90-08,Tb,BDC,2,40,,,,no solid product,n/a
1157,MG2-90-09,Tb,Phthalic,2,40,,,,no solid product,n/a
1158,MG2-90-10,Tb,Isophthalic,2,40,,,,no solid product,n/a
1159,MG2-90-11,Tb,BTC,2,40,0.064,0.064,0.064,CAQFEI,n/a
1160,MG2-90-12,Tb,Trimellitic,2,40,,,,ROWZEM,n/a
1161,MG2-90-13,Tb,Pyromellitic,2,40,,,,RIVSOH,unknown phase
1162,MG2-90-14,Tb,Mellitic,2,40,,0.083,0.083,ZOMKAP02,n/a
1163,MG2-90-15,Tb,BDC,5,40,,,,no solid product,n/a
1164,MG2-90-16,Tb,Phthalic,5,40,,,,no solid product,n/a
1165,MG2-90-17,Tb,Isophthalic,5,40,,,,no solid product,n/a
1166,MG2-90-18,Tb,BTC,5,40,19.106,0.108,0.108,CAQFEI,n/a
1167,MG2-90-19,Tb,Trimellitic,5,40,,0.116,0.116,ROWZEM,n/a
1168,MG2-90-20,Tb,Pyromellitic,5,40,,,,NU-2504,unknown phase
1169,MG2-90-21,Tb,Mellitic,5,40,,0.128,0.128,ZOMKAP02,n/a
1170,MG2-90-22,Tb,BDC,10,40,,,,no solid product,n/a
1171,MG2-90-23,Tb,Phthalic,10,40,,,,no solid product,n/a
1172,MG2-90-24,Tb,Isophthalic,10,40,,,,no solid product,n/a
1173,MG2-90-25,Tb,BTC,10,40,,19.15,19.15,CAQFEI,n/a
1174,MG2-90-26,Tb,Trimellitic,10,40,,4.156,4.156,no crystalline product,n/a
1175,MG2-90-27,Tb,Pyromellitic,10,40,,,,NU-2504,unknown phase
1176,MG2-90-28,Tb,Mellitic,10,40,0.171,0.171,0.171,ZOMKAP02,n/a
1177,MG2-90-29,Dy,BDC,0,40,,,,no solid product,n/a
1178,MG2-90-30,Dy,Phthalic,0,40,,,,no solid product,n/a
1179,MG2-90-31,Dy,Isophthalic,0,40,,,,no solid product,n/a
1180,MG2-90-32,Dy,BTC,0,40,0.198,0.742,0.198,CAQFEI,n/a
1181,MG2-90-33,Dy,Trimellitic,0,40,4.201,4.201,4.201,ROWZEM,n/a
1182,MG2-90-34,Dy,Pyromellitic,0,40,,,,unknown phase,n/a
1183,MG2-90-35,Dy,Mellitic,0,40,0.216,0.216,0.216,LAXGOH01,n/a
1184,MG2-90-36,Dy,BDC,2,40,,,,no solid product,n/a
1185,MG2-90-37,Dy,Phthalic,2,40,,,,no solid product,n/a
1186,MG2-90-38,Dy,Isophthalic,2,40,,,,no solid product,n/a
1187,MG2-90-39,Dy,BTC,2,40,,14.24,14.24,RAVJUV,n/a
1188,MG2-90-40,Dy,Trimellitic,2,40,,,,VOYWUB,n/a
1189,MG2-90-41,Dy,Pyromellitic,2,40,,,,unknown phase,n/a
1190,MG2-90-42,Dy,Mellitic,2,40,,0.262,0.262,LAXGOH01,n/a
1191,MG2-90-43,Dy,BDC,5,40,,,,no solid product,n/a
1192,MG2-90-44,Dy,Phthalic,5,40,,,,no solid product,n/a
1193,MG2-90-45,Dy,Isophthalic,5,40,0.28,,0.28,no solid product,n/a
1194,MG2-90-46,Dy,BTC,5,40,,,,RAVJUV,n/a
1195,MG2-90-47,Dy,Trimellitic,5,40,,,,ROWZEM,n/a
1196,MG2-90-48,Dy,Pyromellitic,5,40,,,,NU-2504,unknown phase
1197,MG2-90-49,Dy,Mellitic,5,40,0.306,0.306,0.306,ZOMKAP,n/a
1198,MG2-90-50,Dy,BDC,10,40,,,,no solid product,n/a
