Legante,Ligand_SMILES,Ligand_InChIKey,Structure_Status,Structure_Source
Imidazole-2-carboxaldehyde,O=Cc1ncc[nH]1,XYHKNCXZYYTLRG-UHFFFAOYSA-N,resolved,PubChem PUG REST
Isophthalic acid,O=C(O)c1cccc(C(=O)O)c1,QQVIHTHCMHWDBS-UHFFFAOYSA-N,resolved,PubChem PUG REST
NO2BPz,O=[N+]([O-])c1[nH]ncc1-c1cn[nH]c1,RTOLQGUSKACYLE-UHFFFAOYSA-N,curated_name_to_structure,Curated project registry
"Pyrazine-2,3-dicarboxylic acid",O=C(O)c1nccnc1C(=O)O,ZUCRGHABDDWQPY-UHFFFAOYSA-N,resolved,PubChem PUG REST
"Pyrazole-3,5-dicarboxylic acid",O=C(O)c1cc(C(=O)O)[nH]n1,YDMVPJZBYSWOOP-UHFFFAOYSA-N,resolved,PubChem PUG REST
"PzDC / 1H-3,5-dicarboxylic",,,pubchem_http_404,unresolved
Ru1,,,pubchem_http_404,unresolved
"Ru1 scambio anionico FW=868,73",,,pubchem_http_404,unresolved
"Ru1,2",,,pubchem_http_404,unresolved
"Ru1,3",,,pubchem_http_404,unresolved
"Ru1,3 802,63",,,pubchem_http_404,unresolved
"Ru1,3 scambio anionico FW=868,73",,,pubchem_http_404,unresolved
"Ru1,3 scambio anionico2 FW=868,73",,,pubchem_http_404,unresolved
TCPP,,,pubchem_http_404,unresolved
TCPP (Tetrakis(4-carboxyphenyl)porphyrin),,,pubchem_http_404,unresolved
TDPAT,,,pubchem_http_404,unresolved
Terphenyldicarboxylic acid (TPDC),O=C(O)c1cccc(-c2ccccc2-c2ccccc2)c1C(=O)O,DAWHTISAONTGQE-UHFFFAOYSA-N,resolved,PubChem PUG REST
TpMe2Tl,,,pubchem_http_404,unresolved
curc(III)_KC,,,pubchem_http_404,unresolved
curc-ind,,,pubchem_http_404,unresolved
"trans-Cyclohexane-1,4-dicarboxylic acid",O=C(O)C1CCC(C(=O)O)CC1,PXGZQGDTEZPERC-UHFFFAOYSA-N,resolved,PubChem PUG REST
