model,evaluation_set,record_id,true_class,P_failed,P_amorphous,P_crystalline,predicted_class
v10_7_volume_deleaked,laboratory_held_out,LAB-DDS-015,1,0.3878923190004301,0.3505884480659831,0.2615192329335868,0
v10_7_volume_deleaked,laboratory_held_out,LAB-DDS-016,2,0.2602061120631932,0.3501478461592972,0.3896460417775095,2
v10_7_volume_deleaked,laboratory_held_out,LAB-DDS-017,2,0.2602061120631932,0.3501478461592972,0.3896460417775095,2
v10_7_volume_deleaked,laboratory_held_out,LAB-DDS-018,2,0.3878923190004301,0.3505884480659831,0.2615192329335868,0
v10_7_volume_deleaked,laboratory_held_out,LAB-DDS-019,2,0.3483029161221725,0.34933970187670726,0.3023573820011202,1
v10_7_volume_deleaked,laboratory_held_out,LAB-DDS-020,2,0.2602061120631932,0.3501478461592972,0.3896460417775095,2
v10_7_volume_deleaked,literature_positive,LITCRYST_001,2,0.04458460051247362,0.24442357865065717,0.7109918208368692,2
v10_7_volume_deleaked,literature_positive,LITCRYST_002,2,0.09422903120875259,0.38724235040622035,0.518528618385027,2
v10_7_volume_deleaked,literature_positive,LITCRYST_003,2,0.057055844998339586,0.20537096656745518,0.7375731884342053,2
v10_7_volume_deleaked,literature_positive,LITCRYST_004,2,0.06794524305168959,0.18720833849083357,0.7448464184574768,2
v10_7_volume_deleaked,literature_positive,LITCRYST_005,2,0.09919687297982913,0.07681086049225726,0.8239922665279136,2
v10_7_volume_deleaked,literature_positive,LITCRYST_006,2,0.04804132230926818,0.03266301130719555,0.9192956663835362,2
v10_7_volume_deleaked,literature_positive,LITCRYST_007,2,0.022647501748937645,0.20489253186502931,0.772459966386033,2
v10_7_volume_deleaked,literature_positive,LITCRYST_008,2,0.0280396422730314,0.03699391712770184,0.9349664405992666,2
v10_7_volume_deleaked,literature_positive,LITCRYST_009,2,0.044664371271723756,0.03517089818638526,0.9201647305418909,2
